N,epsilon,RMS error,Max error
9,0.02,0.5648128812652855,2.106127190178106
25,0.32,1.8753421029265442,17.08828136000941
81,1.64,1.4801838505304952,17.685356378020945
289,4.73,0.007894486052271412,0.10500601572260815
1089,10.5,0.0012339155316095686,0.03512846327233432
4225,21.1,0.0009117812792175641,0.015216873192708258
