N,epsilon,RMS error,Max error
9,2.23,0.29223367728344385,0.9400350278148848
25,3.64,0.21501654412625587,1.334025158244391
81,4.28,0.03646422777525972,0.2745552577486453
289,5.46,0.0010374027538827102,0.0282260977342893
1089,6.2,0.00015045325705614426,0.004933996913336847
4225,6.3,7.566223001306545e-07,2.1760372170165354e-05
